Apple" é uma fruta em inglês; V
O plural de "book" é "books" em inglês; V
O verbo "to swim" significa "nadar" em inglês; V
"Dog" é o plural de "cat" em inglês; F
O adjetivo comparativo de "good" é "better" em inglês; V
O verbo "to eat" significa "dormir" em inglês; F
"Hello" é uma forma informal de cumprimentar alguém em inglês; F
"I am" é a contração de "I have" em inglês; F
O plural de "child" é "childs" em inglês; F
"Yesterday" significa "amanhã" em inglês; F
O adjetivo superlativo de "big" é "biggest" em inglês; V
"She is" é a forma correta de dizer "ele é" em inglês; F
"Red" é uma cor em inglês; V
O verbo "to play" significa "estudar" em inglês; F
"I have" é a forma contraída de "I am" em inglês; F
"Car" é o oposto de "bus" em inglês; F
"Ten" é o número que vem depois de "nine" em inglês; V
"Yellow" é uma cor em inglês; V
"He is" é a forma correta de dizer "ele está" em inglês; V
O plural de "man" é "men" em inglês; V
"Book" é um substantivo em inglês; V
"To run" é um verbo em inglês que significa "correr"; V
O plural de "child" é "childs" em inglês; F
"Goodbye" é uma forma formal de despedida em inglês; V
"Blue" é uma cor em inglês; V
"To sleep" significa "dormir" em inglês; V
"She is" é a forma correta de dizer "ela é" em inglês; V
"Big" é o oposto de "small" em inglês; V
"Table" é uma palavra em inglês que significa "cadeira"; F
O plural de "mouse" (o animal) é "mouses" em inglês; F
"To sing" é um verbo em inglês que significa "dançar"; F
"Elephant" é um animal em inglês; V
O adjetivo comparativo de "hot" é "hotter" em inglês; V
"Sister" é uma palavra em inglês que significa "irmão"; F
"Seven" é o número que vem antes de "eight" em inglês; F
"Tree" é uma palavra em inglês que significa "carro"; F
"To read" é um verbo em inglês que significa "ler"; V
"Cat" é um animal em inglês; V
"To walk" significa "voar" em inglês; F
O plural de "woman" é "womens" em inglês; F
