A capital de Manaus é o Amazonas; F
O Sol é uma estrela; V
A água ferve a 100°C; V
Os seres humanos têm cinco sentidos; V
A Lua tem luz própria; F
O oxigênio é essencial para a respiração; V
As plantas realizam a fotossíntese; V
Os dinossauros ainda existem; F
O sistema solar tem oito planetas; V
O sangue é vermelho devido à presença de hemoglobina; V
Os peixes respiram através das brânquias; V
A Terra gira em torno do Sol; V
O Sol gira em torno da Terra; F
Os mamíferos têm glândulas mamárias; V
Os vírus são seres vivos; F
O sistema nervoso controla nossas ações; V
O ferro é um mineral importante para o corpo humano; V
Os répteis são animais de sangue frio; V
Os répteis são animais de sague quente; F
A água é um composto químico; V
A eletricidade pode ser gerada a partir do vento; V
A fotossíntese ocorre apenas durante o dia; V
A fotossíntese ocorre apenas durante a noite; F
Os seres humanos têm 206 ossos no corpo; V
Os seres humanos tem 606 ossos no corpo; F
O sistema circulatório é responsável pelo transporte de oxigênio e nutrientes; V
O plástico é biodegradável; F
Os répteis são animais de sangue quente; F
A água é um composto químico formado por hidrogênio e oxigênio; V
A energia solar é uma fonte renovável e limpa; V
Os vírus são considerados seres vivos; F
O sistema nervoso central é composto pelo cérebro e pela medula espinhal; V
A Lua tem gravidade menor do que a da Terra; V
Os seres humanos podem voar sem o auxílio de aparelhos; F
O Sol é uma estrela; V
O Sol não é uma estrela; F
Os mamíferos botam ovos; F
O oxigênio é necessário para a respiração dos seres humanos; V
As plantas produzem seu próprio alimento através da fotossíntese; V
Os répteis são animais de sangue frio; V
A água ferve a uma temperatura de 200°C; F
A água ferve a um temperatura de 100 graus Celsius; F
A água congela a uma temperatura de 0 grau Celsius; V
A Terra é o menor planeta do sistema solar; F
A Terra é o maior planeta do Sistema Solar; F
O ácido clorídrico é uma substância básica; F
A eletricidade pode ser gerada a partir da energia solar; V
O sistema solar é composto por oito planetas; V
O granito é um tipo de rocha sedimentar; F
O leite é uma fonte rica de vitamina C; F
A força da gravidade é mais forte na Lua do que na Terra; F
O ciclo da água inclui a evaporação, condensação e precipitação; V
A baleia é um mamífero marinho; V
O ferro é um metal que pode enferrujar; V
As plantas respiram oxigênio e exalam dióxido de carbono; F
O sistema nervoso é responsável pelo transporte de nutrientes no corpo humano; F
O Brasil é o único país da América do Sul que fala espanhol; F
As estrelas são corpos celestes que emitem luz própria; V
Os vírus são considerados seres vivos; F
O átomo é a menor parte de um elemento químico; V
O sistema respiratório humano é composto pelos pulmões e pelo coração; F
A Lua possui sua própria luz; F
A energia eólica é gerada pelo vento; V
O sistema circulatório é responsável pelo transporte de nutrientes e oxigênio no corpo humano; V
A água é essencial para a vida, mas não é um nutriente; V
As plantas podem realizar a fotossíntese apenas durante o dia; F
Os seres humanos têm cinco sentidos; V
A água do mar é potável para os seres humanos; F
O papel é uma fonte renovável de energia; F
O sistema solar está localizado na Via Láctea; V
O centro da Terra é frio; F
Os fungos são seres vivos que produzem seu próprio alimento por meio da fotossíntese; F
O petróleo é uma fonte não renovável de energia; V
O sistema esquelético humano é composto por ossos, músculos e articulações; F
O vidro é um sólido amorfo; V
O ciclo do carbono envolve a respiração dos seres vivos e a queima de combustíveis fósseis; V
Os fungos podem se reproduzir tanto assexuadamente quanto sexuadamente; V
A água é uma substância composta por hidrogênio e oxigênio; V
Os cactos são plantas que armazenam água em suas folhas; F
A eletricidade estática é gerada pelo movimento de elétrons; V
O Sol é uma estrela do tipo anã branca; V
O álcool é uma substância que não evapora em temperatura ambiente; F
O sistema nervoso central é composto pelo cérebro e pela medula espinhal; V
Os vulcões são formações geológicas que liberam lava, gases e cinzas; V
O ferro é um elemento químico representado pelo símbolo Fe; V
O ácido cítrico é encontrado em frutas cítricas como o limão e a laranja; V
Os anfíbios são animais que podem viver tanto na água quanto na terra; V
O efeito estufa é um fenômeno natural que contribui para o aquecimento global; V
Os herbívoros se alimentam apenas de carne; F
O oxigênio é mais abundante na atmosfera terrestre do que o nitrogênio; F
A energia geotérmica é gerada a partir do calor proveniente do interior da Terra; V
A lente convergente diverge os raios de luz que passam por ela; F
O calor é uma forma de energia que se transfere de corpos mais quentes para corpos mais frios; V
As bactérias são seres vivos unicelulares; V
A fotossíntese é um processo que ocorre apenas nas plantas terrestres; F
A matéria pode ser encontrada em três estados físicos: sólido, líquido e gasoso; V
O ácido sulfúrico é uma substância corrosiva usada em baterias; V
A Linha do Equador divide a Terra em hemisfério norte e hemisfério sul; V
A Amazônia é a maior floresta tropical do mundo; V
O Monte Everest é a montanha mais alta do mundo; V
O Rio Amazonas é o rio mais longo do mundo; F
O Brasil faz fronteira com todos os países da América do Sul, exceto Chile e Equador; V
O meridiano de Greenwich passa pela cidade de Londres; V
A Grande Muralha da China pode ser vista do espaço; F
O Deserto do Saara é o maior deserto do mundo em área; V
A Oceania é o menor continente em área terrestre; F
O Japão é um arquipélago localizado no Oceano Atlântico; F
O continente europeu é conhecido por ter a maior quantidade de países; V
A Antártica é o continente mais frio do mundo; V
O rio Nilo é o mais extenso do mundo; F
A cidade de Nova Iorque é a capital dos Estados Unidos da América; F
A Cordilheira dos Andes é a mais longa cadeia de montanhas do mundo; V
O maior oceano do mundo é o Oceano Atlântico; F
O Monte Kilimanjaro é o ponto mais alto do continente africano; V
A cidade de São Francisco é a capital da Califórnia; F
O rio Danúbio passa por dez países europeus; V
A Amazônia abrange nove países da América do Sul; V
A capital do estado de São Paulo é São Paulo; V
A capital do estado do Rio de Janeiro é Rio de Janeiro; V
A capital do estado do Amazonas é Manaus; V
A capital do estado do Rio Grande do Sul é Porto Alegre; V
A capital do estado do Ceará é Fortaleza; V
A capital do estado de Minas Gerais é Belo Horizonte; V
A capital do estado da Bahia é Salvador; V
A capital do estado do Paraná é Curitiba; V
A capital do estado de Pernambuco é Recife; V
A capital do estado do Pará é Belém; V
A capital do estado de Santa Catarina é Florianópolis; V
A capital do estado do Espírito Santo é Vitória; V
A capital do estado do Maranhão é São Luís; V
A capital do estado de Goiás é Goiânia; V
A capital do estado do Mato Grosso é Cuiabá; V
A capital do estado de Alagoas é Maceió; V
A capital do estado do Rio Grande do Norte é Natal; V
A capital do estado do Piauí é Teresina; V
